Land-Ocean Temperature Index (C)
--------------------------------

Year No_Smoothing  Lowess(5)
----------------------------
1880     -0.20     -0.13
1881     -0.12     -0.15
1882     -0.10     -0.18
1883     -0.20     -0.21
1884     -0.28     -0.24
1885     -0.31     -0.26
1886     -0.30     -0.27
1887     -0.33     -0.27
1888     -0.20     -0.26
1889     -0.11     -0.26
1890     -0.36     -0.26
1891     -0.24     -0.26
1892     -0.26     -0.26
1893     -0.30     -0.26
1894     -0.30     -0.24
1895     -0.21     -0.22
1896     -0.15     -0.21
1897     -0.11     -0.18
1898     -0.28     -0.17
1899     -0.16     -0.17
1900     -0.09     -0.20
1901     -0.15     -0.23
1902     -0.28     -0.26
1903     -0.36     -0.28
1904     -0.45     -0.31
1905     -0.28     -0.34
1906     -0.23     -0.36
1907     -0.40     -0.38
1908     -0.43     -0.40
1909     -0.48     -0.41
1910     -0.43     -0.41
1911     -0.45     -0.39
1912     -0.35     -0.35
1913     -0.34     -0.32
1914     -0.16     -0.30
1915     -0.11     -0.29
1916     -0.34     -0.27
1917     -0.40     -0.27
1918     -0.26     -0.27
1919     -0.22     -0.27
1920     -0.27     -0.26
1921     -0.21     -0.25
1922     -0.27     -0.24
1923     -0.24     -0.23
1924     -0.28     -0.22
1925     -0.20     -0.21
1926     -0.09     -0.21
1927     -0.20     -0.20
1928     -0.21     -0.19
1929     -0.35     -0.18
1930     -0.14     -0.19
1931     -0.09     -0.18
1932     -0.16     -0.17
1933     -0.28     -0.17
1934     -0.14     -0.16
1935     -0.19     -0.14
1936     -0.15     -0.11
1937     -0.03     -0.07
1938     -0.03     -0.03
1939     -0.03      0.01
1940      0.08      0.05
1941      0.13      0.08
1942      0.09      0.11
1943      0.13      0.11
1944      0.25      0.09
1945      0.12      0.06
1946     -0.04      0.02
1947     -0.05     -0.02
1948     -0.09     -0.06
1949     -0.09     -0.07
1950     -0.18     -0.07
1951     -0.06     -0.06
1952      0.01     -0.07
1953      0.08     -0.07
1954     -0.12     -0.06
1955     -0.15     -0.06
1956     -0.20     -0.05
1957      0.04     -0.04
1958      0.07     -0.01
1959      0.03      0.01
1960     -0.03      0.03
1961      0.05      0.01
1962      0.03     -0.01
1963      0.06     -0.02
1964     -0.20     -0.03
1965     -0.10     -0.04
1966     -0.05     -0.05
1967     -0.02     -0.04
1968     -0.07     -0.03
1969      0.06     -0.02
1970      0.02     -0.00
1971     -0.09     -0.00
1972      0.01     -0.00
1973      0.15     -0.01
1974     -0.08     -0.00
1975     -0.02      0.02
1976     -0.12      0.04
1977      0.18      0.07
1978      0.07      0.12
1979      0.17      0.17
1980      0.27      0.20
1981      0.33      0.21
1982      0.13      0.22
1983      0.30      0.21
1984      0.16      0.21
1985      0.12      0.23
1986      0.19      0.25
1987      0.33      0.28
1988      0.41      0.32
1989      0.28      0.34
1990      0.44      0.34
1991      0.43      0.34
1992      0.23      0.34
1993      0.24      0.34
1994      0.32      0.35
1995      0.46      0.38
1996      0.35      0.41
1997      0.48      0.44
1998      0.64      0.46
1999      0.42      0.49
2000      0.42      0.52
2001      0.55      0.54
2002      0.63      0.56
2003      0.62      0.59
2004      0.55      0.61
2005      0.69      0.62
2006      0.63      0.63
2007      0.66      0.63
2008      0.54      0.64
2009      0.65      0.64
2010      0.72      0.64
2011      0.61      0.66
2012      0.64      0.69
2013      0.66      0.72
2014      0.75      0.76
2015      0.87      0.79
2016      -999
